Japanese Title,English Title
「殺傷能力ある武器」輸出解禁、自衛隊「パトリオット」を早速アメリカに　国会で議論ないまま「三原則」改定：東京新聞 TOKYO Web,"""Weapons with killing capacity"" export ban, SDF ""Patriot"" immediately revised ""Three Principles"" without discussing in the United States in the Diet: Tokyo Shimbun TOKYO Web"
人口減少の日本 2050年にはどうなる 最新データからわかること | NHK,"What will be understood from the latest data in Japan 2050, which declines population | NHK"
精神疾患で休職の教員過去最多 初の6000人超 20代が高い増加率 | NHK,"Teachers who have taken leave of absence due to mental illness, the first most in the past, the first to be more than 6000 people in their over 6000 people | NHK"
えん罪事件の警察内部メモを入手 経産省側 強制捜査を許容か | NHK,Obtain the internal memo of the police in the crime case Absent to forcibly investigate the Ministry of International Trade and Industry. | NHK
アングル：中国経済、債務膨張か低成長か　迫られる究極の選択,"Angle: Chinese economy, ultimate choice for debt expansion or low growth"
《ススキノ頭部切断事件》娘が被害者に撮られていた「辱め画像」と父親が供述していた「クマに食べさせようとしていた」完全犯罪計画,《Susukino Cut Case》 The daughter was taken by the victim and the father's stating that the father stated that he was trying to eat a bear.
学校側「いじめいけないのか」被害者の親に発言か　第三者委報告書 | 毎日新聞,"School side ""Can't bully?"""
教育を無償化さえすればみんな高収入エリートになれるの？と思ったときに読む話,Can everyone become a high -income elite as long as they have free education?Reading when you think
児童生徒への性暴力などで懲戒処分 公立学校教員242人 昨年度 | NHK,"242 public school teachers for disciplinary action due to sexual violence to children, etc. Last year | NHK"
【動画】丸々と「ふくら雀」　羽毛膨らませ寒さ対策、和歌山県南部：紀伊民報AGARA｜和歌山県のニュースサイト,"[Video] ""Full sparrow"" Feather swelling countermeasures against cold, southern Wakayama: Kii private news AGARA | Wakayama Prefecture's news site"
パー券収入記載「法令違反疑い」　党内弁護士、22年に安倍派へ指摘 | 毎日新聞,"Parrot income ""Suspicion of violation of law"" In the party, pointed out to the Abe school in 2010 | Mainichi Shimbun"
「じゃこ天は貧乏くさい」「頭悪いね」…国民の胸に深く刺さった政治家の失言集2023（ダイヤモンド・オンライン） - Yahoo!ニュース,"""Jakoten is poor"" ""I'm sick"" ... A collection of politicians' gangs deeply in the people's chest 2023 (Diamond Online) --Yahoo! News"
「大臣になりたい時はワンワンと…」　二階氏激怒、自見氏の退会拒否：朝日新聞デジタル,"""If you want to be a minister, with Wan Wan ..."" Mr. Nika is furious, Mr. Jimi's withdrawal: Asahi Shimbun Digital"
フォルクスワーゲン製車両が出火元か　２２日届け出のリコール対象　厚木パチンコ店駐車場火災,Atsugi pachinko parlor parking lot fire lot for recalls with Volkswagen vehicles reported or notified on the 22nd
東京は冬に「灯油」を買わないって本当ですか？ 実家ではヒーターのために必須なのですが、光熱費にどれだけ差が出るのでしょうか？（ファイナンシャルフィールド） - Yahoo!ニュース,"Is it true that Tokyo doesn't buy kerosene in winter?In my parents' house, it is essential for a heater, but how much is different from utility bills?(Financial Field) --Yahoo! News"
トヨタ 豊田章男会長、タイ10時間レース記者会見でダイハツの認証不正問題や新型プリウスのタイ市販化について語る,Chairman Toyota Toyota talks about Daihatsu's certification fraud problem at a 10 -hour race press conference and Thai commercialization of the new Prius
“北朝鮮 建設中の軽水炉が臨界に達した兆候” IAEAが懸念表明 | NHK,"""Signs that the light water reactor under construction of North Korea have reached the criticality"" IAEA is concerned | NHK"
国連安保理 ガザ地区への人道支援拡大決議案を採択 米ロが棄権 | NHK,UN Security Agency to expand humanitarian support to the Gaza District Acquired by US Ro | NHK
アップルギフトカードで被害多発 電子マネー支払いの詐欺急増 | NHK,Surprisingly increasing fraud for damaged electronic money payment with Apple Gift Card | NHK
京葉線ダイヤ改正は実施の考え　ＪＲ千葉支社長「丁寧に説明したい」　通勤快速廃止などで批判受け,"The Keiyo Line Diamond Revision is the idea of implementation JR Chiba Branch ""I want to explain carefully"" commuting rapid abolition, etc."
9時5時の仕事を嘆き悲しんだ女性、レイオフされていた,A woman who lamented at 9:05 was lamented
台湾 記者が総統選の偽の世調記事を報じた疑い 中国から指示か | NHK,Suspected from China that Taiwan reporters reported a fake article of the presidential election?
米最高裁 トランプ氏の裁判で特例認めず 初公判遅れる可能性も | NHK,U.S. Supreme Court Trump's trial may not be admitted for the first time and may be delayed for the first time | NHK
【独自】キックバック中止を高木事務総長が今年議員に伝達　パーティー券購入者の「名寄せ厳格化」も　安倍派内で方針変更か | TBS NEWS DIG,[Unique] President Takagi Canceled the kickback to members this year.
陸自初、パワハラで将補を２階級降任　部下５人を精神疾患に追い込む,"For the first time in the Ground Self -Defense Self -Democratic Society for Power Harassment, the second -class resignation of five people are driven into mental illness"
中国 オンラインゲーム規制案公表 テンセント株価一時急落も | NHK,China online game regulation proposal announcement Tencent stock price sharply falls | NHK
「賃金が上がると介護の担い手いなくなるから老人は潜在的に賃上げに反対している」,"""If the wage goes up, the elderly are potentially opposed the wage increase because they will lose their career."""
シカの森林被害は土壌微生物にも波及する―大規模生態系操作実験と環境DNA分析の融合―,Deeper forest damage spreads to soil microorganisms -fusion of large -scale ecosystem operation experiments and environmental DNA analysis-
高橋名人 プロゲーマーに警鐘 - Yahoo!ニュース,A warning to a master gamer Takahashi -Yahoo! News
東京電力弁護団が福島・浪江で「詳細な個人賠償額」マイク使い読み上げ　「嫌がらせと受け止めるしかない」原告側が抗議文：東京新聞 TOKYO Web,"TEPCO's lawyer is in Namie, Fukushima, ""Detailed Personal Compensation amount"" Mike reading out ""You have to accept harassment"" The plaintiff's protest: Tokyo Shimbun TOKYO Web"
万博バス仮設道路、国が3分の1負担に転換　地元のみ負担から一転 | 毎日新聞,"Expo Bus Temporary Road, the country will be the one -third burden converted from the burden only in the local area | Mainichi Shimbun"
【独自】日本から海外へ養子、９年で３３６人…政府は把握しておらず,"[Independent] Adopted from Japan to overseas, 336 people in 9 years ... the government does not know"
【速報】大阪・関西万博の費用さらに約265億円上乗せし計1378億円に　これまでは府市で1113億円を計上（MBSニュース） - Yahoo!ニュース,"[Breaking news] The cost of the Osaka and Kasengai Expo In addition to about 26.5 billion yen, a total of 137.8 billion yen is 111.3 billion yen (MBS News) -Yahoo! News"
不正のダイハツ、労働組合が給与の9割補償要求　工場勤務者など対象 - 日本経済新聞,"Targets such as fraudulent Daihatsu, labor unions for 90 % compensation factory for salaries -Nihon Keizai Shimbun"
国連安保理、ガザで人道支援の拡大を求める決議採択　米ロが棄権：朝日新聞デジタル,"UN Security Council, Gaza A resolution recruitment of resolution seeking to expand humanitarian support Yonoro: Asahi Shimbun Digital"
ロシア産カニが値下がり　昨年より３割ほど安く　米の対露制裁で日本に大量流入,"Russian crabs have fallen price, and about 30 % cheaper than last year, a large amount of inflow into Japan by sanctions of rice."
安倍派の裏金「俺だけ何でない」　最高顧問の元参院議長が発言：朝日新聞デジタル,"Abe's back money ""What I am only"" is the former chairman of the highest adviser: Asahi Shimbun Digital"
"ROLESCast#012ハマースによる越境攻撃とイスラエル情勢：現状と展望：池内恵,松田拓也 | ROLESCast | 新潮社　Foresight(フォーサイト) | 会員制国際情報サイト","ROLESCAST#012 Hammers cross -border attack and Israeli situation: Current status and prospects: Megumi Ikeuchi, Takuya Matsuda | ROLESCAST | Shinchosha FORESIGHT | Membership International Information Site"
