Japanese Title,English Title
ウクライナ「継戦も地獄、停戦も地獄」　小泉悠氏が読む戦況,"Ukraine ""Succession, Hell, Suspigate is Hell"" Read by Yu Koizumi"
ウクライナ「継戦も地獄、停戦も地獄」　小泉悠氏が読む戦況,"Ukraine ""Succession, Hell, Suspigate is Hell"" Read by Yu Koizumi"
安倍派ガサ入れもトーンダウンし始めた検察と、俺たちの岸田文雄政権の2024年 誰が首相になっても火中の栗、焦点は安倍派議員がどれだけ議員辞職するか | JBpress (ジェイビープレス),"The prosecutor who has begun to tone down the Abe school, and the chestnut in the fire, how many members of the Fumio Kishida administration are in the fire, how many members of the Abe school resign | Jbpress (JBPRESS)"
ふくおかFGのお荷物「みんなの銀行」赤字底なし沼,"Fukuoka FG's luggage ""Minna no Bank"" Deficit Underwater Swamp"
米軍、原爆投下に使ったテニアン島の飛行場を再建へ　中国への対抗,U.S. military opposes to China to rebuild the airfield on Tinian Island used for the atomic bombing
商船襲撃で紅海通航回避、世界の輸送能力2割減も　インフレ再燃恐れ - 日本経済新聞,"Avoid Red Sea through the merchant ship, the world's 20 % reduction of transportation capacity is also inflation reignable -the Nihon Keizai Shimbun"
ハマス活動資金を調達の「中心人物」殺害、空爆でイスラエル軍,"The ""central person"" killing of Hamas activity funding, the airstrikes is Israeli army"
登録情報の修正依頼、郵送へ　マイナ公金口座、２３万人に―デジタル庁：時事ドットコム,"Request for correction of registration information, to mail, to 230,000 people -Digital Agency: current Dotcom"
日本人はなぜ転職にリンクトインを使わないのか,Why do Japanese people use link -to -in to change jobs?
1週間前は官房長官　松野氏へ異例聴取要請　「政権は灰色イメージ」：朝日新聞デジタル,"One week ago, the Secretary -General Matsuno requested an unusual hearing ""The administration is a gray image"": Asahi Shimbun Digital"
10年前に亡くなった上司の言葉が新たに発見されました。 - Everything you've ever Dreamed,"A new boss's words, who died 10 years ago, was newly discovered.-Everything You've Ever Dreamed"
中国政府がiPhone規制拡大、全面使用禁止の動きも 地方政府や小規模企業にも | JBpress (ジェイビープレス),"The Chinese government has expanded the iPhone regulation, has been completely banned for local governments and small businesses | Jbpress (JBPRESS)"
【コンカフェ体験談】コンカフェが好きな新入社員にハグチェキを見せてもらったら写っていたのが娘さんだった,"[Concafe experience] When a new employee who likes Concafe shows Hagcheki, it was my daughter."
“韓国 サムスン電子が半導体研究開発拠点 日本に新設”首相 | NHK,"""South Korea Samsung Electronics is newly established in Japan Semiconductor R & D base"" | NHK"
岩井洋一氏による、ロシア製キッズアニメの現状,Current status of Russian kids animation by Yoichi Iwai
催涙ガス、ドローン、囚人軍団：ウクライナ兵が前線で見たロシアの猛攻,"Learning gas, drone, prison corps: Russian onslaught by Ukrainian soldiers on the front"
EV電池原料リチウム､｢供給過剰｣で値崩れが加速,"EV battery raw material lithium accelerated with ""excessive supply"""
｢学歴｣と言えるのは博士号から…｢日本の大卒は海外の中卒と同レベル｣という不都合な真実 日本のマスコミが低レベルなのも｢低学歴｣だから,"What can be said to be ""educational background"" is from a Ph.D. ... ""Japanese graduates are at the same level as overseas junior graduates"" because the low level of Japanese media is low."
わずか2年で「690円→1100円」「約6割値上げ」した名物ラーメン店主の激白　消費税抜きで「1000円の壁」超えした意図（東洋経済オンライン） - Yahoo!ニュース,"In just two years, the intention of exceeding the ""1000 yen wall"" excluding the super -white consumption tax of the famous ramen shop owner of ""690 yen → 1100 yen"" and ""increased by about 60 %"" (Toyo Keizai Online) --Yahoo! News"
ガザ住民の半数、飢えに直面　食事なしの生活何日も　国連,"Half of the residents of Gaza, hunger and no face -to -face meals for many days"
米 ホワイトハウス“日本製鉄の米企業買収合意 精査に値する” | NHK,"U.S. White House ""Japanese Steel's US Corporate Corporate Acquiring Agreement"""
裏金疑惑で揺れる安倍派をなぜか援護射撃 旧統一教会友好メディア「世界日報」の狙い｜日刊ゲンダイDIGITAL,"For some reason, the Abe school swaying due to the alleged back money is the aim of the former unified church media ""World Daily"" | Daily Gendai Digital"
ジュリアーニ元ＮＹ市長、破産申請－かさむ訴訟費用払えず保護求める,"Former Mayor of Juliani, Bankruptcy Applications -Caser Litigation Expenses cannot be paid for Protection"
若者は努力しない…？なぜ「製造人材」が育たないのか、脱昭和できない“ヤバい”現実,"Young people do not work ...?Why ""manufacturers"" do not grow, ""dangerous"" reality that cannot be removed"
今の企業は若者をまともに育成する気がないという話,The story that today's companies are not willing to develop young people properly
これで会議中の強い眠気とオサラバできる…周囲にバレることなく3秒で眠気を抑制できる｢呼吸法｣の中身 姿勢と呼吸だけでも眠気解消に大きな効果,You can now have a strong drowsiness and osalaba during the meeting ... You can suppress drowsiness in 3 seconds without getting around around.
テロとの戦いは「ガザ壊滅」ではない マクロン仏大統領,"The fight against terrorism is not ""Gaza destruction"" President Macron"
司馬遼太郎の小説『関ヶ原』「著者」が登場する冒頭をどう受け止めるべきか？ 自ら登場人物になることで、読者を現世界から異世界へと導く司馬遼太郎の魔法 | JBpress (ジェイビープレス),"How should Ryotaro Shiba's novel ""Sekigahara"" and ""Author"" appear?Ryotaro Shiba's magic who leads readers from the current world to another world by becoming a character on their own | Jbpress (JBPRESS)"
